STATBEZ,STATBEZ_NAME,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2706,2661,45,1607,1099,1916,547,85,158,31,31,20,24,12,59,621,672,279,132,115,97,113,107,82,66,89,76,39,32,9,2136,570
13,Theater,2501,2477,24,1405,1096,1652,556,124,169,34,24,25,34,16,49,431,529,283,148,107,130,103,85,89,83,103,110,51,38,29,2060,441
14,Lindenplatz,4191,4137,54,2276,1915,2974,809,197,211,60,34,49,52,42,114,914,909,452,173,172,178,158,147,136,110,116,135,112,77,51,3446,745
15,St. Jakob,6228,6161,67,3372,2856,4447,1240,188,353,113,79,93,101,74,156,1338,1393,678,368,303,283,269,249,181,156,137,133,74,37,13,5250,978
16,Westpark,7826,7725,101,4265,3561,5010,2080,350,386,205,164,165,184,101,207,1399,1368,795,484,359,426,363,350,238,207,242,233,160,104,72,6603,1223
17,Hanbruch,3655,3639,16,1760,1895,1465,1631,294,265,97,108,157,179,117,72,212,208,209,185,228,270,314,232,234,170,187,206,156,88,26,3205,450
18,Hîrn,5457,5385,72,2876,2581,2814,2028,355,260,122,148,148,212,149,153,819,598,335,246,228,351,354,285,248,215,248,272,159,107,60,4647,810
21,Ponttor,11803,11581,222,7077,4726,8625,2372,331,475,218,143,171,184,121,370,2988,2666,1245,585,459,480,381,357,334,277,279,261,157,88,39,9087,2716
22,Hansemannplatz,5050,4969,81,2917,2133,3201,1303,202,344,79,66,70,88,46,130,960,819,494,285,245,276,260,257,241,145,222,178,88,68,33,4095,955
23,Soers,2387,2358,29,1156,1231,986,1087,166,148,45,43,79,99,65,55,198,131,121,121,133,175,192,154,161,134,163,152,90,57,19,2196,191
24,JÅlicher Stra·e,7072,7003,69,3874,3198,4376,1849,337,510,168,150,201,243,122,170,1163,1069,713,431,421,404,372,301,276,222,210,181,108,96,51,5252,1820
25,Kalkofen,2715,2700,15,1348,1367,1286,1036,170,223,96,97,135,156,95,61,235,199,185,188,160,199,206,118,130,135,115,102,66,31,6,2044,671
31,Kaiserplatz,7813,7734,79,4360,3453,5002,1921,281,609,174,107,130,141,81,157,1461,1389,861,488,419,407,386,303,317,231,254,232,132,107,36,6166,1647
32,Adalbertsteinweg,9814,9727,87,5503,4311,6085,2456,419,854,275,251,297,327,169,223,1589,1376,977,684,551,608,552,420,359,309,269,269,153,94,62,7370,2444
33,Panneschopp,7827,7795,32,4350,3477,4101,2534,419,773,210,190,270,292,168,181,1117,846,598,503,509,526,498,426,398,320,312,236,123,79,25,5054,2773
34,Rothe Erde,2542,2538,4,1345,1197,1153,972,165,252,71,66,85,108,90,63,225,192,158,147,177,200,183,164,154,118,121,102,65,36,17,1889,653
35,Trierer Stra·e,7534,7497,37,3732,3802,3349,2908,554,723,205,209,270,303,218,169,565,577,457,442,481,564,545,536,446,362,366,389,209,138,83,5823,1711
36,Frankenberg,7868,7789,79,4015,3853,4783,2216,260,609,229,141,214,236,152,173,897,1042,895,567,523,594,522,424,316,256,242,216,130,66,33,6831,1037
37,Forst,13282,13231,51,6470,6812,5287,6114,909,972,385,429,583,716,453,313,822,728,796,839,802,961,991,872,841,624,761,718,378,199,71,10998,2284
41,Beverau,4333,4284,49,2106,2227,1753,2050,286,244,90,143,210,250,171,131,221,151,141,196,274,393,458,334,218,197,220,232,138,115,50,4108,225
42,Burtscheider Kurgarten,5077,5005,72,2636,2441,3058,1419,233,367,105,113,117,136,108,120,698,699,492,274,248,353,310,236,226,168,201,201,144,90,38,4422,655
43,Burtscheider Abtei,7010,6838,172,3547,3463,3753,2231,436,590,133,101,158,204,133,175,802,769,542,406,354,531,470,429,345,324,355,363,218,132,66,6273,737
46,SteinebrÅck,7062,6970,92,3281,3781,2756,3196,615,495,142,141,246,349,233,180,366,307,281,287,407,584,593,471,442,430,512,410,291,225,165,6597,465
47,Marschiertor,6815,6746,69,3606,3209,4450,1592,302,471,147,90,111,124,110,158,1218,1353,740,340,306,381,346,312,244,174,176,205,135,92,53,5659,1156
48,Hangeweiher,11652,11521,131,5679,5973,5666,4244,873,869,316,297,388,534,346,256,986,984,725,572,604,840,786,675,605,531,677,622,369,326,213,10285,1367
51,Brand,17147,17029,118,8243,8904,6507,8134,1132,1374,444,413,621,853,595,408,947,870,925,905,1119,1472,1526,1286,1065,880,1043,905,465,279,126,15859,1288
52,Eilendorf,15431,15356,75,7611,7820,6010,7107,1050,1264,368,365,495,674,496,342,921,983,974,824,1022,1377,1267,1133,965,828,806,794,433,260,104,13783,1648
53,Haaren,12069,11978,91,6043,6026,5084,5271,793,921,269,326,496,643,410,286,846,734,761,681,809,1030,953,802,623,595,626,603,313,185,78,10477,1592
61,KornelimÅnster,3406,3365,41,1657,1749,1290,1591,265,260,78,96,147,159,97,65,152,169,149,201,248,274,271,250,235,196,237,175,100,57,50,3206,200
62,Oberforstbach,5056,5019,37,2488,2568,1822,2512,334,388,101,92,146,248,190,130,252,240,216,225,273,513,480,385,378,251,340,323,159,85,29,4796,260
63,Walheim,7186,7125,61,3471,3715,2624,3483,542,537,148,191,256,368,246,133,393,301,338,347,431,653,630,574,466,412,461,413,203,150,72,6804,382
64,Vaalserquartier,9246,9029,217,4803,4443,4911,3449,370,516,201,199,280,359,258,310,1360,1115,605,498,423,562,652,634,535,390,325,252,165,91,32,7514,1732
65,Laurensberg,10087,9975,112,4822,5265,4030,4580,786,691,274,262,367,486,270,178,548,576,583,538,624,889,769,689,601,537,564,522,363,269,178,9286,801
66,Richterich,8699,8608,91,4239,4460,3381,4184,511,623,177,221,295,380,266,180,558,478,418,418,504,693,781,726,633,490,567,486,228,144,56,8082,617

